profile	stage_name	full_name	korean_name	korean_stage_name	date_of_birth	group	country	second_country	height	weight	birthplace	other_group	former_group	gender	position	instagram	twitter
Profile	Eunbin	Kwon Eunbin	권은빈	은빈	2000-01-06	CLC	South Korea		167	48	Seoul			F			
Profile	Eunchae	Kwon Chaewon	권채원	은채	1999-05-26	DIA	South Korea		0	0				F			
Profile	Eunha	Jung Eunbi	정은비	은하	1997-05-30	Gfriend	South Korea		163	0	Seoul			F			
	Eunho	Shin Donggeun	신동근	은호	1992-09-10	UNVS	South Korea		0	0				M			
	Eunhyuk	Lee Hyukjae	이혁재	은혁	1986-04-04	Super Junior	South Korea		176	58	Ilsan	Super Junior-M		M			
Profile	Eunice	Heo Sooyeon	허수연	유니스	1991-11-02	DIA	South Korea		166	49	Busan			F			
	Eunjae	Kwak Eunjae	곽은재	은재	1996-05-02	14U	South Korea		0	0				M			
Profile	Eunji	Jung Eunji	정은지	은지	1993-08-18	Apink	South Korea		163	0	Busan			F		artist_eunji	
Profile	Eunji	Hong Eunji	홍은지	은지	1992-07-19	Brave Girls	South Korea		0	0	Seoul			F			
Profile	Eunjin	Ahn Eunjin	안은진	은진	1997-08-31		South Korea		170	49	Mokpo		DIA	F			
	Eunjin	Ma Eunjin	마은진	은진	1997-05-23	Playback	South Korea		165	49	Wonju			F		sunghyuk_seo	
	Eunjin	Moon Eunjin	문은진	은진	1998-11-05	Highteen	South Korea		0	0				F			
	Eunjo	Park Eunjo	박은조	은조	2002-03-07	Dreamnote	South Korea		164	46				F			
	Eunjun	Choi Eunjun	최은준	은준	1999-08-06	Spectrum	South Korea		0	0				M			
Profile	Eunjung	Ham Eunjung	함은정	은정	1988-12-12	T-ara	South Korea		167	47	Seoul			F		sweetgirl_eunjung	
	Eunki	Hong Eunki	홍은기	은기	1997-09-29		South Korea		182	0			RAINZ	M		eun_doitz	eun_doit2
	Eunkwang	Seo Eunkwang	서은광	은광	1990-11-22	BtoB	South Korea		173	62	Yongin			M			
	Eunsang	Lee Eunsang	이은상	은상	2002-10-26		South Korea		180	58			X1	M			
Profile	Eunseo	Son Juyeon	손주연	은서	1998-05-27	Cosmic Girls	South Korea		167	0	Incheon	WJSN The Black		F		_eunseo_v	
	Eunsung	Lee Eunsung	이은성	은성	2000-09-07	TheEastLight	South Korea		0	0				M			
Profile	Eunwoo	Jeong Eunwoo	정은우	은우	1998-07-01	Hinapia	South Korea		167	48		Pristin V	Pristin	F			
	Eunwoo	Cha Eunwoo	차은우	은우	1997-03-30	ASTRO	South Korea		0	0	Gunpo			M			
	Eunyoung	Joo Eunyoung	주은영	은영	1992-06-12	Two X	South Korea		0	0				F			
Profile	Exy	Chu Sojung	추소정	엑시	1995-11-06	Cosmic Girls	South Korea		166	0	Busan	WJSN The Black		F	Leader	exy_s2	
	Eyedi	Nam Yujin	남유진	아이디	1995-12-08		South Korea		0	0				F			
	Fei	Wang FeiFei	왕페이페이	페이	1987-04-27	miss A	China		165	0	Haikou			F		ff0427	
Profile	Felix	Lee Youngbok	이용복	필릭스	2000-09-15	Stray Kids	South Korea		0	0	Sydney			M			
	G-Dragon	Kwon Jiyong	권지용	지드래곤	1988-08-18	BIGBANG	South Korea		177	58	Seoul	GD&TOP		M			
	G.NA	Gina Jane Choi	최지나	지나	1987-09-13		Canada	South Korea	167	0	Edmonton			F		missginachoi87	
	G.O	Jung Byunghee	정병희	지오	1987-11-06	MBLAQ	South Korea		0	0	Changwon			M			
	Gabin	Kim Gabin	김가빈	가빈	1989-09-18	Blady	South Korea		0	0	Busan			F		_kimgabin	
	Gaeul	Park Gaeul	박가을	가을	1999-05-08	Favorite	South Korea		164	48	Seoul			F			
	Gaeun	Cho Kaeun	조가은	가은	1992-07-28		South Korea		0	0	Changwon		Dal Shabet	F			
	Gaga	Lee Soobin	이수빈	가가	1994-11-10	Gate9	South Korea		164	0				F		gagag9	
	Gaga	Li Jia Jia	리 지아 지아	가가	1999-09-01		China		0	0			NATURE	F			
Profile	Gahyeon	Lee Gahyeon	이가현	가현	1999-02-03	Dreamcatcher	South Korea		0	0	Seongnam			F			
	Gain	Son Gain	손가인	가인	1987-09-20	Brown Eyed Girls	South Korea		0	0				F		songain87	
	Gaon	Beom Gaon	범가온	가온	2001-03-09	Bonus Baby	South Korea		163	0				F			
	Gayoon	Heo Gayoon	허가윤	가윤	1990-05-18	4minute	South Korea		165	0	Seoul	2YOON		F		gayoon_heo	
Profile	Gayoung	Kim Gayoung	김가영	가영	1991-12-02	Stellar	South Korea		0	0	Seoul			F			
	Geummi	Baek Boram	백보람	금미	1988-06-18	Crayon Pop	South Korea		165	0	Seoul			F	Leader	g.mi	
	Gihwan	Kim Gihwan	김기환	기환	1993-11-24	SIGNAL	South Korea		0	0				M			
	Gijung	Kim Gijung	김기중	기중	2001-01-24	IM	South Korea		180	0				M			
	Gikwang	Lee Gikwang	이기광	기광	1990-03-30	Highlight	South Korea		171	58	Gwangju		Beast	M			
	Giru	Park Giru	박기루	기루	1991-08-14	Blady	South Korea		0	0	Incheon			F		giru_p	
Profile	Giselle	Uchinaga Aeri	우치나가 애리	지젤	2000-10-30	aespa	Japan		166	0				F			
	Giseok	Jun Giseok	정기석	기석	1997-05-02	IM	South Korea		180	0				M			
	GK	Kim Kwanghyun	김광현	지케이	1998-09-29	DKB	South Korea		177	60				M			
	Go_U	Jang Junho	고유	장준호	2001-06-15	BLITZERS	South Korea		0	0				M			
	Goeun	Na Goeun	나고은	고은	1999-09-03	Purple Kiss	South Korea		160	44				F			
	Gohn	Kim Dongsung	김동성	곤	1992-08-01		South Korea		0	0	Seoul		Topp Dogg	M			
	Gohyeon	Go Hyeon	고현	고현	1994-10-01	14U	South Korea		0	0				M			
	Gon	Kim Seongjung	김성중	곤	1998-11-13	ARGON	South Korea		0	0				M			
Profile	Gongchan	Gong Chansik	공찬식	공찬	1993-08-14	B1A4	South Korea		181	60	Suncheon			M			
Profile	Gowon	Park Chaewon	박채원	고원	2000-11-19	LOONA	South Korea		0	0		Loona yyxy		F			
	Gowoon	Moon Joojeong	문유정	고운	1998-12-18	Berry Good	South Korea		167	0				F			
	Gracie	Kim Gaeun	김가운	그레이시	1996-10-28	H.U.B	South Korea		0	0				F		i.m_gracie	
	Green	Kim Jiwon	김지원	지니	1997-07-01	RedSquare	South Korea		0	0	Daegu		Good Day	F	Vocalist		
	Gun	Kwak Gun	곽건	건	2001-09-29	14U	South Korea		0	0				M			
	Gun	Yang Hyuk	양혁	건	2000-03-15	ENOi	South Korea		183	67				M			
	Gunmin	Lee Gunmin	이건민	건민	1994-10-03	B.I.G	South Korea		177	64	Gangwon			M			
	Gunwoo	Lee Gunwoo	이건우	건우	1989-01-30	MYNAME	South Korea		0	0	Daejeon			M			
	Gunwoo	Kim Gunwoo	김건우	건우	2002-05-28	T1419	South Korea		0	0				M			
	Gyehyeon	Jo Gyehyeon	조계현	계현	1999-05-14	Verivery	South Korea		0	0				M			
	Gyeongtae	Kwon Gyeongtae	권경태	경태	2000-07-23	14U	South Korea		0	0				M			
	Gyujin	Han Gyujin	한규진	규진	1997-11-21	UP10TION	South Korea		0	0	Icheon			M			
	Gyuri	Park Gyuri	박규리	규리	1988-05-21	KARA	South Korea		0	0	Seoul			F			
Profile	Gyuri	Jang Gyuri	장규리	규리	1997-12-27	fromis_9	South Korea		0	0	Seoul			F			
	Habin	Yoo Habin	유하빈	하빈	2002-03-10		South Korea		165	48			Dreamnote	F			
Profile	Haebin	Han Haebin	한해빈	해빈	1995-08-16	Gugudan	South Korea		0	0				F			
	Haechan	Lee Donghyuk	이동혁	해찬	2000-06-06	NCT	South Korea		0	0		NCT 127, NCT Dream		M			
Profile	Haein	Yeom Haein	염해인	해인	1995-05-19	LABOUM	South Korea		162	45	Ojeonggu			F	Lead Dancer		
	Haena	Lee Haena	이해나	해나	1991-06-02	Matilda	South Korea		0	165				F			
	Haena	Jeon Eunbi	전은비	해나	2002-02-19	ANS	South Korea		0	0				F			
	Haeri	Lee Haeri	이해리	해리	1985-02-14	Davichi	South Korea		0	0	Seoul			F			
	Haeri	Jung Haeri	정해리	해리	1997-01-14	P.O.P	South Korea		0	0	Seoul			F			
	Haeryeong	Na Haeryeong	나해령	해령	1994-11-11	BESTie	South Korea		0	0				F		bestie_hr	
	Haeun	Yoon Haeun	윤하은	하은	1999-03-12	3YE	South Korea		163	0			Apple.B	F			
	Haeyeon	Lee Taeyeon	이태연	해연	1994-01-11	Gate9	South Korea		161	0				F		ha2y2on_gnine	
Profile	Haeyoon	Park Haeyoon	박해윤	해윤	1996-01-10	Cherry Bullet	South Korea		157	43				F			
Profile	Hajeong	Lee Hajeong	이하정	하정	1997-09-23		South Korea		0	0			NeonPunch	F		sunghyuk_seo	
Profile	Hakmin	Lee Hakmin	이학민	학민	2000-09-20	TRCNG	South Korea		171	0				M			
	Hamin	Jo Hamin	조하민	하민	1997-10-24	ENOi	South Korea		183	65				M			
Profile	Han	Han Jisung	한지성	한	2000-09-14	Stray Kids	South Korea		0	0	Incheon	3RACHA		M			
	Han Geng	Han Geng	한경	한경	1984-02-09		China		181	66	Mudanjiang		Super Junior	M			
	Han Hyeri	Han Hyeri	한혜리	한혜리	1997-08-24	I.B.I	South Korea		159	42	Gwangmyeong			F		soh_eee	
	Han Leeseul	Han Jiyoon	한지윤	한이슬	2000-02-12	Rockit Girl	South Korea		0	0				F			
Profile	Hana	Shin Bora	신보라	하나	1993-04-30	Gugudan	South Korea		0	0				F			
Profile	Hana	Jung Hana	정하나	하나	1990-02-02	SECRET	South Korea		0	0	Uljeongbu			F			supahana
	Hanbyeol	Ahn Hanbyeol	안한별	한별	2003-10-13		South Korea		166	44			Dreamnote	F			
	Hanbyul	Kyung Hanbyul	경한별	한별	2005-07-01	PRECIOUS	South Korea		167	49	Seoul			F			
Profile	Handong	Han Dong	한동	한동	1996-03-26	Dreamcatcher	China		0	0	Wuhan			F			
	Haneul	Lee Haneul	이하늘	하늘	1996-06-03	ARGON	South Korea		175	0				M			
	Haneul	Choi Haneul	최하늘	하늘	2000-11-28	Saturday	South Korea		158	43				F			
	Hangyul	Lee Hangyul	이한결	한결	1999-12-07	BAE173	South Korea		177	0			X1, IM	M			
Profile	Hani	Ahn Hee-yeon	안희연	하니	1992-05-01	EXID	South Korea		168	0	Seoul			F		ahnhani_92	
	Hanna	Shin Jiyeon	신지연	한나	1994-02-19	MIXX	South Korea		170	48				F	Leader		
	Hanse	Do Hanse	도한세	한세	1997-09-25	VICTON	South Korea		0	0				M			
	Hansol	Kim Hansol	김한솔	한솔	1993-06-15		South Korea		0	0	Busan		Topp Dogg	M			
	Hanwoom	Byun Hanwoom	변한움	한움	2001-06-05	PRECIOUS	South Korea		160	43	Seoul			F			
	Hara†	Koo Hara	구하라	하라	1991-01-13	KARA	South Korea		0	0	Gwangju			F			
	Harin	Ju Harin	주하린	주하린	1998-03-29	Onewe	South Korea		0	0			MAS	M			
	Harin			하린	1995-11-21	Lusty	South Korea		160	43	Seoul			F	Sub Vocal		
	Harin	Park Guenhye	박근혜	하린	2000-05-26	Pink Fantasy	South Korea		164	48				F			
	Harin	Seo Harin	서하린	하린	2000-12-07	BOTOPASS	South Korea		0	0				F			
	Harry-June	Han Harry-June	한해리준	해리준	2004-01-01	DKB	South Korea		178	61				M			
	Haru	Han Sangsook	한상숙	하루	1994-07-06	Gate9	South Korea		160	0	Bucheon			F		hanharuuu	
	Haru	Abe Haruno	아베 하루노	하루	2000-02-21	NATURE	Japan		0	0				F			
	Haru	Lee Yoojeong	이유정	하루	1997-02-26	Ho1iday	South Korea		164	0			MyB	F			
	Haruto	Watanabe Haruto	와타나베 하루토	하루토	2004-04-05	Treasure	Japan		0	0				M			
Profile	Haseul	Jo Haseul	조하슬	하슬	1997-08-18	LOONA	South Korea		0	0	Ansan	Loona 1/3		F			
Profile	Hayoon	Jung Hayoon	정하윤	하윤	1998-11-21	Bonus Baby	South Korea		163	0			MyB	F			
Profile	Hayoung	Oh Hayoung	오하영	하영	1996-07-19	Apink	South Korea		167	0	Seoul			F		o_h_y_y	
	Hayoung	Lee Hayoung	이하영	하영	1993-08-03	Playback	South Korea		0	0				F			
Profile	Hayoung	Choi Hayoung	최하영	하영	2000-08-22	TRCNG	South Korea		181	0				M			
Profile	Hayoung	Song Hayoung	송하영	하영	1997-09-29	fromis_9	South Korea		0	0	Gwangju			F			
Profile	Hayun	Lee Hayun	이하윤	하윤	1994-08-29		South Korea		0	0	Changwon		Brave Girls	F		hayoon.y	
	Heechan	Yang Heechan	양희찬	희찬	1999-07-31	DKB	South Korea		176	63				M			
	Heechul	Kim Heechul	김희철	희철	1983-07-10	Super Junior	South Korea		179	60	Hoengseong			M			
	Heechul	Jung Heechul	정희철	희철	1989-12-09	ZE:A	South Korea		0	0	Jeju			M			
	Heedo	Yoon Heedo	유희도	희도	1996-04-22	B.I.G	South Korea		180	60	Seoul			M			
Profile	Heejin	Jeon Heejin	전희진	희진	2000-10-19	LOONA	South Korea		0	0	Seongnam	Loona 1/3		F			
	Heejin	Song Heejin	송희진	희진	1995-08-19	Good Day	South Korea		0	0	Seoul			F			
	Heejoo	Jeon Heejoo	전희주	희주	1996-11-30	Ho1iday	South Korea		0	0			MyB	F			
	Heejun	Oh Heejun	오희준	희준	1996-05-08	KNK	South Korea		180	61				M			
	Heeo	Gwak Heeoh	곽히오	히오	1994-05-02	4TEN	South Korea		0	0				F			
	Heeseok	Yun Heeseok	윤희석	희석	1997-06-10	Limitless	South Korea		180	61				M			
Profile	Heeseung	Lee Heeseung	이희승	희승	2001-10-15	ENHYPEN	South Korea		0	0				M			
	Heesu	Kim Heesu	김희수	희수	1998-03-24	Maka Maka	South Korea		0	0				F			
	Heesun	Park Heesun	박희선	희선	2005-01-25	Pink Fantasy	South Korea		162	45				F			
	Heeyu	Choi Heejae	최희재	희유	1995-06-30	MIXX	South Korea		159	0				F			
	Henny	Kang Gayoung	강가영	헤니	1994-12-01		South Korea		168	50			MIXX	F			
	Henry	Henry Lau	헨리 라우	헨리	1989-10-11	Super Junior-M	Canada	Hong Kong, Taiwan	176	63	Toronto			M			
	Heo Chan	Heo Chan	허찬	허찬	1995-12-14	VICTON	South Korea		0	0				M			
Profile	High.D	Kim Dohee	김도희	하이디	1996-12-21	Sonamoo	South Korea		165	0	Suwon			F	Main Vocalist		SONAMOO_HighD
	HighTop	Lim Hyeontae	임현태	하이탑	1994-03-19	Bigflo	South Korea		178	60				M			
Profile	Himchan	Kim Himchan	김힘찬	힘찬	1990-04-19	B.A.P	South Korea		180	69	Seoul			M			
	Hina			히나	2003-04-07	LIGHTSUM	Japan		0	0				F			
Profile	Hitomi	Honda Hitomi	혼다 히토미	히토미	2001-10-06	IZ*ONE	Japan		0	0	Toghichi			F			
Profile	Hohyeon	Lee Hohyeon	이호현	호현	2001-10-14	TRCNG	South Korea		177	0				M			
	Hojoon	Jeon Hojoon	전호준	호준	1992-10-31	Topp Dogg	South Korea		0	0	Gwangju			M			
	Hojung	Go Hojung	고호정	호정	1994-10-20	HOTSHOT	South Korea		0	0				M			
Profile	Hongbin	Lee Hongbin	이홍빈	홍빈	1993-09-29	VIXX	South Korea		181	62	Seoul			M			
	Honggi	Lee Honggi	이홍기	홍기	1990-03-02	FTISLAND	South Korea		0	0	Gwangju			M	Vocal		
	Hongil	Yoon Hongil	윤홍일	홍일	1999-01-11	Astin	South Korea		0	0				M			
	Hongjoong	Kim Hongjoong	김홍중	홍중	1998-11-07	ATEEZ	South Korea		171	0				M			
	Hongseob	Shim Hongseob	심홍섭	홍섭	1998-01-08	24K	South Korea		177	58				M			
Profile	Hongseok	Yang Hongseok	양홍석	홍석	1994-04-17	PENTAGON	South Korea		0	0				M			
	Hoon	Yeo Hoonmin	여훈민	훈	1991-08-16	U-KISS	South Korea		0	0	Namyangju			M			
	Hoony	Lee Seunghoon	이승훈	승훈	1992-01-11	WINNER	South Korea		0	0	Busan			M			
Profile	Hoshi	Kwon Soonyoung	권순영	호시	1996-06-15	Seventeen	South Korea		178	63	Namyangju			M			
	Hoya	Lee Howon	이호원	호야	1991-03-28		South Korea		178	60	Busan	Infinite H	Infinite	M			
	Hoyoung	Bae Hoyoung	배호영	호영	1998-08-10	Verivery	South Korea		0	0				M			
Profile	Hueningkai	Kai Kamal Huening	카이 카말 휴닝	휴닝카이	2002-08-14	TXT	USA	South Korea	0	0				M			
Profile	Hui	Lee Hwitaek	이회택	후이	1993-08-28	PENTAGON	South Korea		0	0				M	Leader		
	Hui	Liang Hui	양휘	양휘	1995-07-18	24K	China		178	58				M			
Profile	Huihyeon	Ki Huihyeon	기희현	희현	1995-06-16	DIA	South Korea		167	46	Namwon			F			
	Huijun	Noh Huijun	노휘준	휘준	2003-10-07	MCND	South Korea		0	0				M			
	Huiyeon	Oh Huiyeon	오휘연	휘연	2005-08-01	LIGHTSUM	South Korea		0	0				F			
Profile	Hwall	Heo Hyunjoon	허현준	활	2000-03-09		South Korea		178	56	Busan		The Boyz	M			
	Hwanhee	Lee Hwanhee	이환희	환희	1998-05-06	UP10TION	South Korea		0	0	Daejeon			M			
	Hwani	Jo Sihyeon	조시환	화니	1994-11-16	DUSTIN	South Korea		0	0				M			
	Hwanwoong	Yeo Hwanwoong	여환웅	환웅	1998-08-26	Oneus	South Korea		0	0				M			
	Hwarang	Park Jonghan	박종찬	종찬	1995-12-05	Spectrum	South Korea		0	0				M			
	Hwasa	Ahn Hyejin	안혜진	화사	1995-07-23	Mamamoo	South Korea		162	44	Jeonju			F	Lead Vocalist		
	Hweseung	Yoo Hweseung	유회승	회승	1995-02-28	N.Flying	South Korea		0	0				M			
	Hwi	Jo Mingyu	조민규	휘	2002-09-26	Newkidd	South Korea		0	0				M			
	Hwi	Lee Choonghyun	이충현	휘	1999-02-04	Ciipher	South Korea		172	61				M			
	Hwiyoung	Kim Youngkyun	김영균	휘영	1999-05-11	SF9	South Korea		0	0				M			
	Hyangsuk	Lee Hyangsuk	이향숙	향숙	1991-04-24	2EYES	South Korea		165	0	Seoul			F		baby_sook	
Profile	Hyebin	Lee Hyebin	이혜빈	혜빈	1996-01-12	MOMOLAND	South Korea		165	44	Andong			F			
	Hyebin	Im Hyebin	임혜빈	혜빈	1999-11-10	Highteen	South Korea		0	0				F			
	Hyebin	Kim Hyebin	김혜빈	혜빈	1997-03-29	AREAL	South Korea		0	0			Rose Finger	F			
Profile	Hyejeong	Shin Hyejeong	신혜정	혜정	1993-08-10	AoA	South Korea		170	48	Seoul			F		dongdong810	
	Hyeji	Jeong Hyeji	정혜지	혜지	1992-04-02	4TEN	South Korea		0	0	Seoul			F			
	Hyejin	Baek Hyejin	백혜진	혜진	1996-11-21	4TEN	South Korea		0	0	Sacheon			F			
	Hyejin	Kang Hyejin	강혜진	혜진	2000-07-13	CRAXY	South Korea		0	0				F			
	Hyejoo	Park Hyunjoo	박현주	혜주	1999-01-12	Highteen	South Korea		0	0				F			
	Hyemi	Pyo Hyemi	표혜미	혜미	1991-04-03	9Muses	South Korea		171	46	Gwangju	9MUSES A		F		pyopyohyemi	
	Hyemi	Kim Hyemi	김혜미	혜미	1990-08-10	Fiestar	South Korea		161	0	Seoul			F		hyemi_haaaaam	
Profile	Hyeoeun	Lee Hyoeun	이효은	효은	1993-03-16	Stellar	South Korea		0	0	Seoul			F			
	Hyeongjun	Song Hyeongjun	송형준	형준	2002-11-30		South Korea		174	55			X1	M			
	Hyeongjun	Song Hyeongjun	송형준	형준	2002-11-30	CRAVITY	South Korea		174	55				M			
	Hyeongseo	Myeong Hyeongseo	명형서	형서	2001-06-25	Busters	South Korea		0	0				F			
	Hyeongseok	Chu Hyeongseok	추형석	형석	2000-09-13	Astin	South Korea		0	0				M			
	Hyeongshin	Kim Hyungshin	김형신	형신	2002-05-03	HOT ISSUE	South Korea		0	0				F			
	Hyeran	Noh Hyeran	노혜란	혜란	1993-04-09		South Korea		0	0			Brave Girls	F		hrannnoh	
Profile	Hyeri	Lee Hyeri	이혜리	혜리	1994-06-09	Girl's Day	South Korea		167	46	Gwangju			F		hyeri_0609	
Profile	Hyerim	Woo Hyerim	우혜림	혜림	1992-09-01	Wonder Girls	South Korea		167	0	Seoul			F		wg_lim	
Profile	Hyerin	Seo Hyerin	서혜린	혜린	1993-08-23	EXID	South Korea		165	0	Gwangju			F		hyeliniseo	
	Hyerin	Kim Hyerin	김혜린	혜린	1993-06-13	2EYES	South Korea		170	0	Seoul			F		hyelyn0723	
Profile	Hyeseong	Yang Hyeseon	양혜선	혜성	1999-10-15	ELRIS	South Korea		0	0				F			
Profile	Hyewon	Kang Hyewon	강혜원	혜원	1999-07-05	IZ*ONE	South Korea		0	0	Yangsan			F			
	Hyeyeon	Kang Hyeyeon	강혜연	혜연	1990-12-08	BESTie	South Korea		0	0			EXID	F		hyeyeon_2	
Profile	Hyeyeon	Cho Hyeyeon	조혜연	혜연	2000-08-05		South Korea		0	0		Gugudan Oguogu	Gugudan	F			
	Hyogyeong	Jang Hyogyeong	장효경	효경	1999-11-15	ARIAZ	South Korea		0	0				F			
	Hyojin	Kim Hyojin	김효진	효진	1994-04-22	ONF	South Korea		0	0	Seoul			M			
Profile	Hyojung	Choi Hyojung	최효정	효정	1994-07-28	Oh My Girl	South Korea		160	46	Yangyang			F			
Profile	Hyomin	Park Sunyoung	박선영	효민	1989-05-30	T-ara	South Korea		167	43	Busan			F		hyominnn	
	Hyorin	Kim Hyojung	김효정	효린	1990-12-11	SISTAR	South Korea		0	0		SISTAR19		F		xhyolynx	
	Hyosun	Lim Hyosun	임효선	효선	1998-07-10	H.U.B	South Korea		170	54			Kiwi Band	F			
Profile	Hyosung	Jun Hyoseong	전효성	효성	1989-10-13	SECRET	South Korea		0	0	Cheongju			F		secrettimehs	
	Hyoyeon	Kim Hyoyeon	김효연	효연	1989-09-22	SNSD	South Korea		158	48	Incheon			F		watasiwahyo	
Profile	Hyuk	Han Sanghyuk	한상혁	혁	1995-07-05	VIXX	South Korea		181	62	Daejeon	Big Byung		M			
	Hyukjin	Jang Hyukjin	장혁진	혁진	1993-12-20	100%	South Korea		0	0	Busan			M			
	Hyuna	Kim Hyuna	김현아	현아	1992-06-06	4minute	South Korea		164	0	Jeolla		Wonder Girls	F		hyunah_aa	
	Hyuna	Moon Hyuna	문현아	현아	1987-01-19		South Korea		172	50	Yeosu		9Muses	F		moongom119	
	Hyunbin	Kwon Hyunbin	권현빈	현빈	1997-03-04	JBJ	South Korea		0	0	Seoul			M			
	Hyunbin	Kim Hyunbin	김현빈‬	현빈‬	2004-05-26	TRI.BE	South Korea		0	0				F			
	Hyunbin	Moon Hyunbin	문현빈	현빈	2000-02-26	Ciipher	South Korea		177	61				M			
	Hyungsik	Park Hyungsik	박형식	형식	1991-11-16	ZE:A	South Korea		0	0	Yongin			M			
	Hyungwon	Chae Hyungwon	채형원	형원	1994-01-15	MONSTA X	South Korea		0	0	Gwangju			M			
	Hyunho	Lee Hyunho	이현호	현호	1998-11-04	D-CRUNCH	South Korea		0	0				M			
Profile	Hyunjae	Lee Jaehyun	이재현	현재	1997-09-13	The Boyz	South Korea		180	62				M			
	Hyunji	Kim Hyunji	김현지	현지	1992-06-30	Hashtag	South Korea		165	0				F			
Profile	Hyunjin	Kim Hyunjin	김현진	현진	2000-11-15	LOONA	South Korea		0	0	Jeonju	Loona 1/3		F			
Profile	Hyunjin	Hwang Hyunjin	황현진	현진	2000-03-20	Stray Kids	South Korea		0	0	Seoul			M			
	Hyunjoo	Lee Hyunjoo	이현주	현주	1998-02-05	UNI.T	South Korea		0	0	Seoul		APRIL	F			
	Hyunjun	Lee Hyunjun	이현준	현준	1999-12-21	IZ	South Korea		0	0				M			
	Hyunkyung	Kim Hyunjong	김현종	현경	1998-09-05	Romeo	South Korea		0	0				M			
	Hyunmin	Byun Hyunmin	변현민	현민	1999-04-17		South Korea		170	0			RAINZ	M		bhm__99	bhm___99
	Hyunoh	Park Hyunoh	백현우	현우	1999-02-12	D-CRUNCH	South Korea		0	0				M			
	Hyunseong	Shim Hyunseong	심현성	현성	1993-06-09	Boyfriend	South Korea		178	58	Yeongcheon			M			
	Hyunseong	Go Hyunseo	고현서	현서	1999-06-17	G-reyish	South Korea		0	0				F			
	Hyunseung	Jang Hyunseung	장현승	현승	1989-09-03		South Korea		177	58	Suncheon	Troublemaker	Beast	M			
	Hyunsik	Lim Hyunsik	임현식	현식	1992-03-07	BtoB	South Korea		177	66	Ilsan			M			
	Hyunsoo	Kim Hyunsoo	김현수	현수	1995-04-12	D1CE	South Korea		176	60				M			
	Hyunsuk	Choi Hyunsuk	최현석	현석	1999-04-21	Treasure	South Korea		0	0	Daegu			M			
Profile	Hyunsuk	Yoon Hyunsuk	윤현석	현석	2001-09-08	CIX	South Korea		188	0				M			
	Hyunuk	Han Hyunuk	한현욱	현욱	1994-09-26	IN2IT	South Korea		179	63				M			
Profile	Hyunwoo	Kim Hyunwoo	김현우	현우	2001-01-21	TRCNG	South Korea		173	0				M			
	Hyunwoo	Baek Hyunwoo	박현오	현오	1999-03-19	D-CRUNCH	South Korea		0	0				M			
	Hyunwook	Ji Hyunwook	지현욱	현욱	1998-07-01	D-CRUNCH	South Korea		0	0				M			
	Hyunwoong	Kim Hyunwoong	김현웅	현웅	1998-02-08	14U	South Korea		0	0				M			
	Hyunyoung	Cho Hyunyoung	조현영	현영	1991-08-11	Rainbow	South Korea		160	41	Seoul	Rainbow Blaxx, Rainbow Pixie		F			
	I	Cha Yoonji	차윤지	아이	1996-12-02		South Korea		0	0	Busan			F			
	I.M	Lim Changkyun	임창균	아이엠	1996-01-26	MONSTA X	South Korea		0	0	Gwangju			M			
Profile	I.N	Yang Jeongin	양정인	아이엔	2001-02-08	Stray Kids	South Korea		0	0	Busan			M			
Profile	Iaan	Yoo Dongju	유동주	이안	2002-03-22	XUM	South Korea		0	0			NeonPunch	F		sunghyuk_seo	
	Ida	Ko Chaeyoung	고채영	아이다	2000-05-19	MAJORS	South Korea		163	43				F			
	Ilhoon	Jung Ilhoon	정일훈	일훈	1994-10-04	BtoB	South Korea		176	64	Seoul			M			
	Inho	Hwang Inho	황인호	인호	1993-06-21	IN2IT	South Korea		177	58				M			
	Inpyo	Lee Inpyo	이인표	인표	1995-08-14	IN2IT	South Korea		182	66				M			
	Inseong	Kim Inseong	김인성	인성	1993-07-12	SF9	South Korea		0	0				M			
	Inseong	Jeong Inseong	정인성	인성	1994-07-01	KNK	South Korea		183	71				M	Main Vocal		
	Insoo	Kang Insoo	강인수	인수	1988-03-10	MYNAME	South Korea		0	0	Suwon			M			
Profile	Intak	Hwang Intak	황인탁	인탁	2003-08-31	P1Harmony	South Korea		0	0				M			
	Ireh	Cho Seoyoung	조서영	이레	2002-04-30	Purple Kiss	South Korea		0	0				F			
Profile	Irene	Bae Juhyun	배주현	아이린	1991-03-29	Red Velvet	South Korea		161	0	Daegu	Red Velvet - IRENE SEULGI		F			
	Isa	Lee Chaeyoung	이채영	아이사	2002-01-23	STAYC	South Korea		0	0				F			
	Isaac	Voo Isaak	부 아이젝	아이젝	1994-12-12	IN2IT	Malaysia		176	56				M			
	Isol			이솔	1997-05-01	Lusty	South Korea		166	48	Seoul			F	Main Vocal		
	IU	Lee Jieun	이지은	아이유	1993-05-16		South Korea		162	0	Seoul			F		dlwlrma	
	Ivan	Park Yooseong	박유성	아이반	2001-10-12	Kingdom	South Korea		0	0				M			
	J	Lee Yeji	이예지	제이	1998-02-12	ANS	South Korea		0	0				F			
	J	Jang Yeeun	장예은	제이	2004-12-09	STAYC	South Korea		0	0				F			
	J-Hoon	Lim Junghoon	임정훈	제이훈	1990-07-15	B.I.G	South Korea		172	62	Seoul			M			
